,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
19,Computer-Vision,deep-learning-drizzle,kmario23,7.6k,1.8k,489,1,0,0,"['machine-learning', 'deep-learning', 'deep-neural-networks', 'pattern-recognition', 'computer-vision', 'optimization', 'visual-recognition', 'reinforcement-learning', 'deep-reinforcement-learning', 'natural-language-processing', 'artificial-neural-networks', 'artificial-intelligence-algorithms', 'probabilistic-graphical-models', 'bayesian-statistics']","Drench yourself in Deep Learning, Reinforcement Learning, Machine Learning, Computer Vision, and NLP by learning from these exciting lectures!!",https://deep-learning-drizzle.github.io,117,1,0,0,1,Fetching contributors,https://github.com/kmario23/deep-learning-drizzle
20,Computer-Vision,ccv,liuliu,6.6k,1.7k,368,69,16,0,[],"C-based/Cached/Core Computer Vision Library, A Modern Computer Vision Library",http://libccv.org,"2,187",11,0,0,0,View license,https://github.com/liuliu/ccv
21,Computer-Vision,ludwig,uber,6.6k,784,181,72,6,1,"['deep-learning', 'deeplearning', 'deep-neural-networks', 'deep', 'learning', 'machine-learning', 'machinelearning', 'machine', 'natural-language-processing', 'natural-language-understanding', 'natural-language', 'natural-language-generation', 'computer-vision', 'python3']",Ludwig is a toolbox built on top of TensorFlow that allows to train and test deep learning models without the need to write code.,http://ludwig.ai,"1,029",10,0,0,10,Apache-2.0,https://github.com/uber/ludwig
22,Computer-Vision,mediapipe,google,6.4k,1.2k,281,94,14,0,"['mediapipe', 'c-plus-plus', 'computer-vision', 'deep-learning', 'android', 'video-processing', 'audio-processing', 'mobile-development', 'machine-learning', 'inference', 'graph-framework', 'graph-based', 'calculator', 'framework', 'pipeline-framework', 'stream-processing', 'perception']",MediaPipe is a cross-platform framework for building multimodal applied machine learning pipelines,https://mediapipe.dev,59,2,0,0,19,Apache-2.0,https://github.com/google/mediapipe
23,Computer-Vision,vision,pytorch,6.1k,3.1k,259,228,107,0,"['computer-vision', 'machine-learning']","Datasets, Transforms and Models specific to Computer Vision",,968,45,0,0,14,BSD-3-Clause,https://github.com/pytorch/vision
24,Computer-Vision,BossSensor,Hironsan,5.9k,1.1k,280,24,0,0,"['machine-learning', 'cnn', 'deep-learning', 'opencv', 'computer-vision']",Hide screen when boss is approaching.,http://ahogrammer.com/2016/11/15/deep…,61,1,0,0,0,MIT,https://github.com/Hironsan/BossSensor
25,Computer-Vision,EasyPR,liuruoze,5.6k,2.4k,543,61,8,0,"['computer-vision', 'machine-learning', 'artificial-intelligence', 'plate-recognition', 'unconstrained-situation']","An easy, flexible, and accurate plate recognition project for Chinese licenses in unconstrained situations.",,582,2,0,0,14,Apache-2.0,https://github.com/liuruoze/EasyPR
26,Computer-Vision,ailab,microsoft,5.4k,946,384,12,24,0,"['computer-vision', 'custom-vision', 'ocr', 'ai', 'azure-functions', 'algorithms', 'luis', 'language-learning', 'translation', 'bing-search', 'object-detection', 'image-classification', 'bot', 'iot', 'csharp', 'javascript', 'html5', 'dnn']","Experience, Learn and Code the latest breakthrough innovations with Microsoft AI",https://www.ailab.microsoft.com/exper…,123,1,0,0,1,MIT,https://github.com/microsoft/ailab
27,Computer-Vision,awesome-object-detection,amusi,5.3k,1.6k,411,2,1,0,"['object-detection', 'detection', 'computer-vision', 'deep-learning', 'object-localisation']",Awesome Object Detection based on handong1587 github: https://handong1587.github.io/deep_learning/2015/10/09/object-detection.html,https://handong1587.github.io/deep_learning/2015/10/09/object-detection.html,85,1,0,0,0,Fetching contributors,https://github.com/amusi/awesome-object-detection
28,Computer-Vision,pcl,PointCloudLibrary,4.9k,3.3k,425,580,118,4,"['pcl', 'c-plus-plus', 'cpp', 'pointcloud', 'computer-vision', 'point-cloud']",Point Cloud Library (PCL),http://www.pointclouds.org,"12,442",1,0,0,35,View license,https://github.com/PointCloudLibrary/pcl
29,Computer-Vision,TensorFlow-2.x-Tutorials,dragen1860,4.8k,1.6k,200,14,5,0,"['tensorflow', 'tensorflow-examples', 'tensorflow-tutorials', 'tensorflow-2', 'deep-learning', 'machine-learning', 'computer-vision', 'nlp', 'artificial-intelligence', 'neural-network']","TensorFlow 2.x version's Tutorials and Examples, including CNN, RNN, GAN, Auto-Encoders, FasterRCNN, GPT, BERT examples, etc. TF 2.0版入门实例代码，实战教程。",,248,1,0,0,0,Fetching contributors,https://github.com/dragen1860/TensorFlow-2.x-Tutorials
30,Computer-Vision,CVPR2020-Paper-Code-Interpretation,extreme-assistant,4.8k,1.2k,234,3,1,0,"['computer-vision', 'cvpr2020', 'cvpr2019', 'deep-learning', 'machine-learning', 'object-detection', 'image-segmentation', 'image-classification', 'papers']",cvpr2020/cvpr2019／cvpr2018/cvpr2017 papers，极市团队整理,http://bbs.cvmart.net/,163,1,0,0,0,Fetching contributors,https://github.com/extreme-assistant/CVPR2020-Paper-Code-Interpretation
31,Computer-Vision,ImageAI,OlafenwaMoses,4.7k,1.4k,256,146,12,0,"['artificial-intelligence', 'machine-learning', 'prediction', 'image-prediction', 'python', 'python3', 'offline-capable', 'imageai', 'artificial-neural-networks', 'algorithm', 'image-recognition', 'object-detection', 'squeezenet', 'densenet', 'video', 'inceptionv3', 'detection', 'gpu', 'ai-practice-recommendations']",A python library built to empower developers to build applications and systems with self-contained Computer Vision capabilities,http://imageai.org,277,2,0,0,13,MIT,https://github.com/OlafenwaMoses/ImageAI
32,Computer-Vision,d2l-en,d2l-ai,4.6k,1.2k,183,15,17,,"['deep-learning', 'machine-learning', 'book', 'notebook', 'computer-vision', 'natural-language-processing', 'python', 'kaggle', 'data-science']","An interactive deep learning book with code, math, and discussions, based on the NumPy interface.",https://d2l.ai,"2,498",13,0,0,3,View license,https://github.com/d2l-ai/d2l-en
33,Computer-Vision,labelme,wkentaro,4.5k,1.4k,113,31,6,,"['image-annotation', 'python', 'computer-vision', 'annotations', 'deep-learning', 'semantic-segmentation', 'instance-segmentation', 'video-annotation', 'classification']","Image Polygonal Annotation with Python (polygon, rectangle, circle, line, point and image-level flag annotation).",,"1,105",4,0,0,155,View license,https://github.com/wkentaro/labelme
34,Computer-Vision,TensorFlow-World,astorfi,4.5k,423,172,1,1,0,"['deep-learning', 'neural-network', 'tensorflow', 'machine-learning', 'python', 'computer-vision']",🌎 Simple and ready-to-use tutorials for TensorFlow,,671,1,0,0,1,MIT,https://github.com/astorfi/TensorFlow-World
35,Computer-Vision,pix2pixHD,NVIDIA,4.5k,913,159,116,8,,"['gan', 'deep-learning', 'deep-neural-networks', 'pytorch', 'pix2pix', 'image-to-image-translation', 'generative-adversarial-network', 'computer-vision', 'computer-graphics']",Synthesizing and manipulating 2048x1024 images with conditional GANs,https://tcwang0509.github.io/pix2pixHD/,40,1,0,0,0,View license,https://github.com/NVIDIA/pix2pixHD
36,Computer-Vision,models,PaddlePaddle,4.5k,2.1k,242,510,222,3,"['paddlepaddle', 'deep-learning', 'neural-network', 'computer-vision', 'natural-language-processing', 'recommendation', 'speech']",Pre-trained and Reproduced Deep Learning Models （『飞桨』官方模型库，包含多种学术前沿和工业场景验证的深度学习模型）,,"4,278",26,0,0,8,Apache-2.0,https://github.com/PaddlePaddle/models
37,Computer-Vision,carla,carla-simulator,4.3k,1.2k,199,201,9,,"['simulator', 'autonomous-vehicles', 'autonomous-driving', 'research', 'ai', 'artificial-intelligence', 'computer-vision', 'deep-learning', 'deep-reinforcement-learning', 'imitation-learning', 'self-driving-car', 'ue4', 'unreal-engine-4', 'cross-platform', 'carla', 'carla-simulator', 'ros']",Open-source simulator for autonomous driving research.,http://carla.org,"3,875",52,0,0,38,MIT,https://github.com/carla-simulator/carla
38,Computer-Vision,Realtime_Multi-Person_Pose_Estimation,ZheC,4.3k,1.3k,255,105,0,0,"['human-pose-estimation', 'realtime', 'caffe', 'human-behavior-understanding', 'deep-learning', 'computer-vision', 'matlab', 'python', 'cpp11', 'cvpr-2017']",Code repo for realtime multi-person pose estimation in CVPR'17 (Oral),,162,1,0,0,0,View license,https://github.com/ZheC/Realtime_Multi-Person_Pose_Estimation
39,Computer-Vision,meshroom,alicevision,4.2k,419,255,150,9,1,"['photogrammetry', 'computer-vision', '3d-reconstruction', 'alicevision']",3D Reconstruction Software,http://alicevision.org,"1,396",39,0,0,3,View license,https://github.com/alicevision/meshroom
40,Computer-Vision,javacv,bytedeco,4.2k,1.1k,250,142,2,0,"['javacv', 'java', 'opencv', 'ffmpeg', 'computer-vision', 'multimedia', 'maven']","Java interface to OpenCV, FFmpeg, and more",,464,6,0,0,27,View license,https://github.com/bytedeco/javacv
41,Computer-Vision,vrn,AaronJackson,4k,679,213,9,0,,"['computervision', 'deeplearning', '3d', 'reconstruction', 'face', 'torch7', 'computer-vision']","👨 Code for ""Large Pose 3D Face Reconstruction from a Single Image via Direct Volumetric CNN Regression""",http://aaronsplace.co.uk/papers/jacks…,56,1,0,0,0,MIT,https://github.com/AaronJackson/vrn
42,Computer-Vision,AlphaPose,MVIG-SJTU,3.8k,1k,175,63,3,0,"['pose-estimation', 'iccv2017', 'posetracking', 'torch', 'computer-vision', 'machine-learning', 'tracking', 'state-of-the-art', 'gpu', 'pytorch', 'faster-rcnn', 'realtime', 'human-pose-estimation', 'human-tracking', 'human-pose-tracking', 'alpha-pose', 'alphapose', 'person-pose-estimation', 'action-recognition', 'accurate']",Real-Time and Accurate Multi-Person Pose Estimation&Tracking System,http://mvig.org/research/alphapose.html,53,3,0,0,0,View license,https://github.com/MVIG-SJTU/AlphaPose
43,Computer-Vision,librealsense,IntelRealSense,3.8k,2.6k,293,341,36,,"['librealsense', 'developer-kits', 'sdk', 'library', 'camera-api', 'computer-vision', 'hardware']",Intel® RealSense™ SDK,https://www.intelrealsense.com/,"8,955",8,0,0,84,View license,https://github.com/IntelRealSense/librealsense
44,Computer-Vision,framework,accord-net,3.8k,1.8k,379,636,7,1,"['machine-learning', 'framework', 'c-sharp', 'nuget', 'visual-studio', 'statistics', 'unity3d', 'neural-network', 'support-vector-machines', 'computer-vision', 'image-processing', 'ffmpeg']","Machine learning, computer vision, statistics and general scientific computing for .NET",http://accord-framework.net,"2,555",9,0,0,15,View license,https://github.com/accord-net/framework
45,Computer-Vision,gluon-cv,dmlc,3.7k,871,146,277,17,3,"['deep-learning', 'computer-vision', 'neural-network', 'gluon', 'mxnet', 'machine-learning', 'image-classification', 'object-detection', 'semantic-segmentation', 'gan', 'person-reid', 'action-recognition', 'pose-estimation']",Gluon CV Toolkit,http://gluon-cv.mxnet.io,708,10,0,0,7,Apache-2.0,https://github.com/dmlc/gluon-cv
46,Computer-Vision,scikit-image,scikit-image,3.7k,1.6k,193,420,177,8,"['image-processing', 'python', 'computer-vision']",Image processing in Python,https://scikit-image.org,"12,083",8,0,0,65,View license,https://github.com/scikit-image/scikit-image
47,Computer-Vision,iGAN,junyanz,3.6k,559,176,14,0,0,"['generative-adversarial-network', 'image-manipulation', 'computer-graphics', 'computer-vision', 'gan', 'pix2pix', 'dcgan', 'deep-learning']",Interactive Image Generation via Generative Adversarial Networks,,44,2,0,0,0,MIT,https://github.com/junyanz/iGAN
48,Computer-Vision,ssd.pytorch,amdegroot,3.5k,1.3k,82,265,15,0,"['pytorch', 'deep-learning', 'ssd', 'object-detection', 'computer-vision', 'machine-learning', 'image-recognition', 'webcam']",A PyTorch Implementation of Single Shot MultiBox Detector,,333,3,0,0,0,MIT,https://github.com/amdegroot/ssd.pytorch
49,Computer-Vision,daily-paper-computer-vision,amusi,3.5k,949,377,0,0,0,"['paper', 'deep-learning', 'computer-vision', 'machine-learning', 'face-detection', 'object-detection']",记录每天整理的计算机视觉/深度学习/机器学习相关方向的论文,,62,1,0,0,0,Fetching contributors,https://github.com/amusi/daily-paper-computer-vision
50,Computer-Vision,cvat,opencv,3.5k,872,147,200,12,15,"['video-annotation', 'computer-vision', 'computer-vision-annotation', 'deep-learning', 'image-annotation', 'annotation-tool', 'annotation', 'labeling', 'labeling-tool', 'image-labeling', 'image-labelling-tool', 'boundingbox', 'image-classification', 'annotations', 'imagenet', 'tensorflow', 'semantic-segmentation', 'dataset']",Powerful and efficient Computer Vision Annotation Tool (CVAT),,328,18,0,0,14,MIT,https://github.com/opencv/cvat
51,Computer-Vision,pysot,STVIR,3.2k,848,181,72,0,0,"['tracking', 'computer-vision', 'siamese-network']","SenseTime Research platform for single object tracking, implementing algorithms like SiamRPN and SiamMask.",,56,1,0,0,0,Apache-2.0,https://github.com/STVIR/pysot
52,Computer-Vision,arXivTimes,arXivTimes,3.2k,199,753,"1,642",0,6,"['machine-learning', 'natural-language-processing', 'computer-vision', 'reinforcement-learning', 'arxivtimes']",repository to research & share the machine learning articles,https://arxivtimes.herokuapp.com/,467,2,0,0,0,MIT,https://github.com/arXivTimes/arXivTimes
53,Computer-Vision,gocv,hybridgroup,3.1k,470,128,106,10,0,"['opencv', 'opencv3', 'golang', 'video', 'computer-vision', 'video-capture', 'face-tracking', 'mjpeg', 'mjpeg-stream', 'image-processing', 'tensorflow', 'caffe', 'computervision', 'openvino', 'dnn', 'gocv', 'torch', 'object-tracking', 'object-classification', 'opencv4']",Go package for computer vision using OpenCV 4 and beyond.,https://gocv.io,"1,186",5,0,0,30,View license,https://github.com/hybridgroup/gocv
54,Computer-Vision,jetson-inference,dusty-nv,3k,1.3k,246,297,28,,"['deep-learning', 'inference', 'computer-vision', 'embedded', 'image-recognition', 'object-detection', 'segmentation', 'jetson', 'jetson-tx1', 'jetson-tx2', 'jetson-xavier', 'nvidia', 'tensorrt', 'digits', 'caffe', 'video-analytics', 'robotics', 'machine-learning', 'jetson-agx-xavier', 'jetson-nano']",Guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA Jetson.,https://developer.nvidia.com/embedded…,913,17,0,0,1,View license,https://github.com/dusty-nv/jetson-inference
55,Computer-Vision,imagededup,idealo,3k,227,58,12,1,1,"['image-deduplication', 'neural-network', 'tensorflow', 'hashing', 'e-commerce', 'idealo', 'image-preprocessing', 'computer-vision']",😎 Finding duplicate images made easy!,https://idealo.github.io/imagededup/,433,4,0,0,4,Apache-2.0,https://github.com/idealo/imagededup
56,Computer-Vision,handong1587.github.io,handong1587,3k,1k,363,2,1,0,"['deep-learning', 'machine-learning', 'computer-vision', 'programming']",,http://handong1587.github.io,"2,546",1,0,0,0,MIT,https://github.com/handong1587/handong1587.github.io
57,Computer-Vision,d2l-pytorch,dsgiitr,2.9k,819,159,4,4,0,"['deep-learning', 'd2l', 'data-science', 'pytorch-implmention', 'book', 'nlp', 'computer-vision', 'pytorch', 'mxnet', 'dive-into-deep-learning']","This project reproduces the book Dive Into Deep Learning (www.d2l.ai), adapting the code from MXNet into PyTorch.",www.d2l.ai,182,1,0,0,0,Apache-2.0,https://github.com/dsgiitr/d2l-pytorch
58,Computer-Vision,label-studio,heartexlabs,2.8k,199,64,34,6,1,"['computer-vision', 'deep-learning', 'image-annotation', 'annotation-tool', 'annotation', 'labeling', 'labeling-tool', 'image-labeling', 'image-labelling-tool', 'boundingbox', 'image-classification', 'annotations', 'imagenet', 'semantic-segmentation', 'dataset', 'datasets', 'label-studio', 'data-labeling', 'text-annotation', 'yolo']",Label Studio is a multi-type data labeling and annotation tool with standardized output format,https://labelstud.io/,234,22,0,0,22,Apache-2.0,https://github.com/heartexlabs/label-studio
59,Computer-Vision,openMVG,openMVG,2.8k,1.1k,271,103,33,0,"['geometry', 'computer-vision', 'openmvg', 'structure-from-motion', 'sfm', 'multiple-view-geometry', 'drone', 'photogrammetry', '3d-reconstruction']",open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion.,,"2,060",13,0,0,16,View license,https://github.com/openMVG/openMVG
60,Computer-Vision,zhihu,NELSONZHAO,2.8k,1.8k,149,31,0,0,"['deep-learning', 'tensorflow-examples', 'convolutional-neural-networks', 'recurrent-neural-networks', 'autoencoder', 'gan', 'style-transfer', 'natural-language-processing', 'machine-translation']","This repo contains the source code in my personal column (https://zhuanlan.zhihu.com/zhaoyeyu), implemented using Python 3.6. Including Natural Language Processing and Computer Vision projects, such as text generation, machine translation, deep convolution GAN and other actual combat code.",https://zhuanlan.zhihu.com/zhaoyeyu,63,1,0,0,0,Fetching contributors,https://github.com/NELSONZHAO/zhihu
61,Computer-Vision,pigo,esimov,2.7k,161,89,4,0,0,"['face-detection', 'computer-vision', 'machine-learning', 'golang', 'opencv', 'pixel-intensity-comparison', 'pupil-detection', 'eye-detection', 'facial-landmarks', 'wasm', 'webassembly']",Pure Go face detection library,,374,2,0,0,8,MIT,https://github.com/esimov/pigo
62,Computer-Vision,Open3D,intel-isl,2.7k,685,123,272,6,,"['point-cloud', 'triangle-mesh', 'mesh', 'mesh-processing', 'voxel', 'computer-vision', 'computer-graphics', 'opengl', 'cpp', 'pybind11', 'python', 'reconstruction', 'multi-view-stereo', 'multi-view-geometry', 'odometry', 'color-mapping', 'visualization', 'camera-calibration', 'camera-pose', 'registration']",Open3D: A Modern Library for 3D Data Processing,http://www.open3d.org,"2,540",22,0,0,10,View license,https://github.com/intel-isl/Open3D
63,Computer-Vision,tencent-ml-images,Tencent,2.7k,464,133,38,1,0,"['database', 'deep-learning', 'computer-vision']",Largest multi-label image database; ResNet-101 model; 80.73% top-1 acc on ImageNet,,156,1,0,0,0,View license,https://github.com/Tencent/tencent-ml-images
64,Computer-Vision,SiamMask,foolwood,2.6k,658,96,108,3,0,"['visual-tracking', 'video-object-segmentation', 'read-time', 'pytorch', 'deep-learning', 'cvpr2019', 'computer-vision', 'object-tracking']",[CVPR2019] Fast Online Object Tracking and Segmentation: A Unifying Approach,http://www.robots.ox.ac.uk/~qwang/Sia…,12,1,0,0,0,MIT,https://github.com/foolwood/SiamMask
65,Computer-Vision,jsfeat,inspirit,2.5k,361,140,39,4,0,[],JavaScript Computer Vision library.,,50,2,0,0,1,MIT,https://github.com/inspirit/jsfeat
66,Computer-Vision,3DDFA,cleardusk,2.5k,474,106,11,1,,"['face-alignment', 'pytorch', 'python', 'computer-vision', 'deep-learning', '3d-face', '3d']",The PyTorch improved version of TPAMI 2017 paper: Face Alignment in Full Pose Range: A 3D Total Solution.,,154,1,0,0,0,MIT,https://github.com/cleardusk/3DDFA
67,Computer-Vision,code,MasteringOpenCV,2.4k,1.6k,330,40,3,0,[],"Code for the book ""Mastering OpenCV with Practical Computer Vision Projects"" by Packt Publishing 2012.",,29,5,0,0,0,View license,https://github.com/MasteringOpenCV/code
68,Computer-Vision,PocketFlow,Tencent,2.4k,468,149,71,1,0,"['deep-learning', 'model-compression', 'mobile-app', 'automl', 'computer-vision']",An Automatic Model Compression (AutoMC) framework for developing smaller and faster AI applications.,https://pocketflow.github.io,214,1,0,0,0,View license,https://github.com/Tencent/PocketFlow
69,Computer-Vision,computervision-recipes,microsoft,2.4k,317,107,47,4,0,"['machine-learning', 'computer-vision', 'deep-learning', 'python', 'jupyter-notebook', 'operationalization', 'kubernetes', 'azure', 'microsoft', 'data-science', 'tutorial', 'artificial-intelligence', 'image-classification', 'image-processing', 'similarity', 'object-detection', 'convolutional-neural-networks']","Best Practices, code samples, and documentation for Computer Vision.",,855,14,0,0,2,MIT,https://github.com/microsoft/computervision-recipes
70,Computer-Vision,SimpleCV,sightmachine,2.4k,747,200,75,49,0,"['computer-vision', 'python', 'cv', 'vision', 'visionprocessing', 'image-processing']",The Open Source Framework for Machine Vision,http://simplecv.org,"2,625",10,0,0,5,BSD-3-Clause,https://github.com/sightmachine/SimpleCV
71,Computer-Vision,ai-deadlines,abhshkdz,2.4k,468,90,2,2,0,"['deep-learning', 'deep-neural-networks', 'machine-learning', 'computer-vision', 'artificial-intelligence', 'natural-language-processing', 'robotics']",⏰ AI conference deadline countdowns,http://aideadlin.es,641,1,0,0,0,Fetching contributors,https://github.com/abhshkdz/ai-deadlines
72,Computer-Vision,opencvsharp,shimat,2.3k,628,219,163,0,0,"['opencv', 'wrapper', 'dotnet-core', 'dotnet', 'c-sharp', 'mono', 'nuget', 'opencvsharp', 'image-processing', 'machine-learning', 'computer-vision', 'dotnetcore', 'dotnet-core2', 'dotnetstandard', 'nuget-packages', 'native-bindings']",.NET Framework wrapper for OpenCV,,"2,256",2,0,0,62,BSD-3-Clause,https://github.com/shimat/opencvsharp
73,Computer-Vision,luminoth,tryolabs,2.3k,399,129,49,7,0,"['tensorflow', 'sonnet', 'deep-learning', 'computer-vision', 'object-detection', 'python', 'machine-learning', 'toolkit', 'faster-rcnn']",⚠️ UNMAINTAINED. Deep Learning toolkit for Computer Vision.,https://luminoth.ai,838,13,0,0,10,BSD-3-Clause,https://github.com/tryolabs/luminoth
